session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
grj9bsph,126,o3p1pih2,19,si_experiment,SocDist1,1662053601,1,0,0
grj9bsph,129,otw0bacm,9,si_experiment,PercAccuracy,1662053611,1,0,0
grj9bsph,131,nupqrucl,10,si_experiment,WTP,1662053620,1,0,0
grj9bsph,132,vdzp6180,0,,InitializeParticipant,1662053621,1,0,0
grj9bsph,127,7d0dc1pe,14,si_experiment,Task2,1662053622,1,0,0
grj9bsph,133,ojt69a2a,0,,InitializeParticipant,1662053623,1,0,0
grj9bsph,123,vspg5wlw,17,si_experiment,PostQuestions2,1662053623,1,0,0
grj9bsph,128,mijsuan2,16,si_experiment,Revision2,1662053626,1,0,0
grj9bsph,133,ojt69a2a,1,si_experiment,Intro,1662053627,1,0,0
grj9bsph,127,7d0dc1pe,15,si_experiment,PercAccuracy2,1662053627,1,0,0
grj9bsph,126,o3p1pih2,20,si_experiment,SocDist2,1662053628,1,0,0
grj9bsph,131,nupqrucl,11,si_experiment,Revision,1662053638,1,0,0
grj9bsph,132,vdzp6180,1,si_experiment,Intro,1662053638,1,0,0
grj9bsph,127,7d0dc1pe,16,si_experiment,Revision2,1662053654,1,0,0
grj9bsph,130,c1uhhj8s,3,si_experiment,Task2_1,1662053656,1,0,0
grj9bsph,128,mijsuan2,17,si_experiment,PostQuestions2,1662053662,1,0,0
grj9bsph,129,otw0bacm,10,si_experiment,WTP,1662053673,1,0,0
grj9bsph,131,nupqrucl,12,si_experiment,PostQuestions,1662053684,1,0,0
grj9bsph,133,ojt69a2a,2,si_experiment,PreQuestions,1662053686,1,0,0
grj9bsph,132,vdzp6180,2,si_experiment,PreQuestions,1662053687,1,0,0
grj9bsph,127,7d0dc1pe,17,si_experiment,PostQuestions2,1662053688,1,0,0
grj9bsph,131,nupqrucl,13,si_experiment,Stage2,1662053690,1,0,0
grj9bsph,129,otw0bacm,11,si_experiment,Revision,1662053709,1,0,0
grj9bsph,131,nupqrucl,14,si_experiment,Task2,1662053717,1,0,0
grj9bsph,134,wryztlhl,0,,InitializeParticipant,1662053719,1,0,0
grj9bsph,135,eqeyahtp,0,,InitializeParticipant,1662053723,1,0,0
grj9bsph,131,nupqrucl,15,si_experiment,PercAccuracy2,1662053725,1,0,0
grj9bsph,128,mijsuan2,19,si_experiment,SocDist1,1662053728,1,0,0
grj9bsph,130,c1uhhj8s,4,si_experiment,PercAccuracy2_1,1662053731,1,0,0
grj9bsph,133,ojt69a2a,3,si_experiment,Task2_1,1662053738,1,0,0
grj9bsph,131,nupqrucl,16,si_experiment,Revision2,1662053742,1,0,0
grj9bsph,134,wryztlhl,1,si_experiment,Intro,1662053752,1,0,0
grj9bsph,135,eqeyahtp,1,si_experiment,Intro,1662053753,1,0,0
grj9bsph,128,mijsuan2,20,si_experiment,SocDist2,1662053755,1,0,0
grj9bsph,131,nupqrucl,17,si_experiment,PostQuestions2,1662053777,1,0,0
grj9bsph,136,8axs331d,0,,InitializeParticipant,1662053778,1,0,0
grj9bsph,130,c1uhhj8s,5,si_experiment,Revision2_1,1662053795,1,0,0
grj9bsph,133,ojt69a2a,4,si_experiment,PercAccuracy2_1,1662053798,1,0,0
grj9bsph,134,wryztlhl,2,si_experiment,PreQuestions,1662053805,1,0,0
grj9bsph,135,eqeyahtp,2,si_experiment,PreQuestions,1662053817,1,0,0
grj9bsph,129,otw0bacm,12,si_experiment,PostQuestions,1662053820,1,0,0
grj9bsph,131,nupqrucl,19,si_experiment,SocDist1,1662053821,1,0,0
grj9bsph,133,ojt69a2a,5,si_experiment,Revision2_1,1662053825,1,0,0
grj9bsph,129,otw0bacm,13,si_experiment,Stage2,1662053826,1,0,0
grj9bsph,132,vdzp6180,3,si_experiment,Task2_1,1662053832,1,0,0
grj9bsph,131,nupqrucl,20,si_experiment,SocDist2,1662053835,1,0,0
grj9bsph,132,vdzp6180,4,si_experiment,PercAccuracy2_1,1662053861,1,0,0
grj9bsph,130,c1uhhj8s,6,si_experiment,PostQuestions2_1,1662053869,1,0,0
grj9bsph,130,c1uhhj8s,7,si_experiment,Stage2_1,1662053876,1,0,0
grj9bsph,132,vdzp6180,5,si_experiment,Revision2_1,1662053877,1,0,0
grj9bsph,134,wryztlhl,3,si_experiment,Task2_1,1662053903,1,0,0
grj9bsph,132,vdzp6180,6,si_experiment,PostQuestions2_1,1662053905,1,0,0
grj9bsph,137,do0rbgig,0,,InitializeParticipant,1662053909,1,0,0
grj9bsph,132,vdzp6180,7,si_experiment,Stage2_1,1662053910,1,0,0
grj9bsph,129,otw0bacm,14,si_experiment,Task2,1662053911,1,0,0
grj9bsph,135,eqeyahtp,3,si_experiment,Task2_1,1662053911,1,0,0
grj9bsph,137,do0rbgig,1,si_experiment,Intro,1662053932,1,0,0
grj9bsph,134,wryztlhl,4,si_experiment,PercAccuracy2_1,1662053940,1,0,0
grj9bsph,129,otw0bacm,15,si_experiment,PercAccuracy2,1662053944,1,0,0
grj9bsph,133,ojt69a2a,6,si_experiment,PostQuestions2_1,1662053945,1,0,0
grj9bsph,133,ojt69a2a,7,si_experiment,Stage2_1,1662053950,1,0,0
grj9bsph,135,eqeyahtp,4,si_experiment,PercAccuracy2_1,1662053972,1,0,0
grj9bsph,130,c1uhhj8s,8,si_experiment,Task,1662053975,1,0,0
grj9bsph,129,otw0bacm,16,si_experiment,Revision2,1662053980,1,0,0
grj9bsph,134,wryztlhl,5,si_experiment,Revision2_1,1662054002,1,0,0
grj9bsph,137,do0rbgig,2,si_experiment,PreQuestions,1662054007,1,0,0
grj9bsph,133,ojt69a2a,8,si_experiment,Task,1662054021,1,0,0
grj9bsph,130,c1uhhj8s,9,si_experiment,PercAccuracy,1662054025,1,0,0
grj9bsph,135,eqeyahtp,5,si_experiment,Revision2_1,1662054031,1,0,0
