,wtp_none,wtp_dev,wtp_treateff,woa_none,woa_dev,woa_treateff,g1_sticky_none,g1_sticky_dev,g1_sticky_treateff,g1_predonly_none,g1_predonly_dev,g1_predonly_treateff
"('raw', 'aggregated weighted', 'dev_cluster')",0.3917293415385632,0.15973442177361313,0.3616561221959256,0.12189528138799648,0.24550939434340802,0.24685431115611334,0.08845463160373865,0.06551453603895172,0.20611034728642397,0.23047169232128892,0.17200405530615656,0.16869242952254992
"('raw', 'aggregated weighted', 'task_cluster')",0.3251409301235973,0.8631398497304241,0.9245745669126347,0.587340315683123,0.38353449658112776,0.44326502654238703,0.6147653284511039,0.07142984866939904,0.04116977143735001,0.6012372979868883,0.21586641852901178,0.03849802445284389
"('raw', 'aggregated weighted', 'dev_task_cluster')",0.24901386302631945,0.7714269507176272,0.8138261837602764,0.39808907738079446,0.3138071863109987,0.2419037861493285,0.22488246163612524,0.007359944842161304,0.04381054242331348,0.2454672336830188,0.051453484976196937,0.03653120569355166
"('raw', 'aggregated weighted', 'stage_cluster')",0.20531089402344244,0.8301175011874935,0.8996235938071712,0.15587432395478343,0.49913411147710224,0.28353802307055664,0.5852761372774226,0.03649631959850783,0.15130704921261023,0.6598687706283937,0.015240216545071406,0.2535041994664234
"('raw', 'aggregated weighted', 'dev_stage_cluster')",0.18190194079269287,0.7361847295368471,0.8347680608378034,0.3090964972860693,0.33524329772558925,0.14528354459083107,0.29105568163950035,0.03954352672947355,0.06939429771669696,0.28838528372625377,0.1761382812330624,0.10172919701094293
"('raw', 'single', 'robust')",0.09139888143701587,0.1293869460946073,0.06905722998827267,0.10047244777390078,0.042455241929167185,0.21020372050572333,0.10168307700682361,0.008496136912969353,0.19277979794851696,0.0699938400971008,0.015566531452660898,0.1371029399830801
"('raw', 'single', 'dev_cluster')",0.1290027487517047,0.07403676643068148,0.029859668488600468,0.008068548542998285,0.0015567715233568943,0.07405008538090477,0.035168445264668266,0.020282663504431156,0.31630130542013457,0.02902956903869758,0.033673618186221235,0.19120762366132293
"('raw', 'single', 'task_cluster')",0.14549204179104308,0.28464348916773696,0.1666138418839211,0.18848268768423343,0.3469756669462794,0.1985105870433758,0.08239436649810339,0.011716323696693894,0.20083752493512885,0.06595435754673334,0.14844325581511733,0.1314894472792437
"('raw', 'single', 'dev_task_cluster')",0.12915897948474886,0.05805675615749163,0.05251664020246411,0.03537426346485683,0.01954609990759178,0.05315430364242736,0.009143921232626683,0.02558678489365559,0.11045115274665569,0.02383014235772988,0.0263304251704223,0.05594905131648335
"('raw', 'single', 'stage_cluster')",0.2433663202172804,0.41108782392052134,0.4062023069016402,0.1061931835270622,0.14211943009214828,0.038789152370837764,0.24199532481278244,0.030359854177893424,0.20876961850328532,0.03792611154766382,0.03614664587710604,0.3457414220697947
