Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6317af58a73d198f720d2bc3,615573338cb367dc10aeb9a9,APPROVED,2022-09-06T20:36:42.216000Z,2022-09-06T20:48:42.193000Z,2022-09-07T09:05:32.417000,2022-09-06T20:48:42.546769Z,720,CA03AWEI,21,1,99,"English, German",27,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
6317afb3833e2a670c66ef4e,613914cbb1f633800a5b53d1,APPROVED,2022-09-06T20:38:16.995000Z,2022-09-06T20:47:46.527000Z,2022-09-07T09:05:41.616000,2022-09-06T20:47:46.975581Z,570,CA03AWEI,170,0,100,"English, French, German",51,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6317b6dbdc4a8fe6dd573ea7,627bccc58bb8898efd763beb,APPROVED,2022-09-06T21:08:56.662000Z,2022-09-06T21:17:59.673000Z,2022-09-07T09:05:32.514000,2022-09-06T21:18:00.020336Z,544,CA03AWEI,116,2,99,"German, English",22,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
6317bc1dbc43f3cbc694c005,61532bec4cb66519fb24311e,APPROVED,2022-09-06T21:31:11.698000Z,2022-09-06T21:46:16.591000Z,2022-09-07T09:05:32.607000,2022-09-06T21:46:16.981707Z,905,CA03AWEI,127,1,100,"English, German",37,Male,White,Germany,Germany,Germany,German,No,Full-Time
6317bdefb7ced3a05bc8f60f,60b89d39069e9ca604dd0d55,APPROVED,2022-09-06T21:38:59.903000Z,2022-09-06T21:50:34.017000Z,2022-09-07T09:05:41.720000,2022-09-06T21:50:34.390311Z,695,CA03AWEI,156,0,100,"German, English",25,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,Other
6317bfc47835a4d692875c6d,5dc95ddc0a290066b15862d3,APPROVED,2022-09-06T21:46:48.303000Z,2022-09-06T21:58:31.212000Z,2022-09-07T09:05:32.699000,2022-09-06T21:58:31.553667Z,703,CA03AWEI,299,3,100,"English, German",39,Male,White,Australia,Germany,Australia,English,No,Full-Time
6317c3d4799a4eaecbb808ed,60b8cedde72c0e8c6b08cfc2,APPROVED,2022-09-06T22:04:07.486000Z,2022-09-06T22:10:06.947000Z,2022-09-07T09:05:32.791000,2022-09-06T22:10:07.558580Z,360,CA03AWEI,34,1,100,"English, German, Polish",21,Male,White,Poland,Germany,Poland,Polish,No,Unemployed (and job seeking)
6317c721cf5c122648c28cdb,612ad244a22f81bb9b223500,APPROVED,2022-09-06T22:18:20.840000Z,2022-09-06T22:25:35.005000Z,2022-09-07T09:05:41.825000,2022-09-06T22:25:35.382623Z,435,CA03AWEI,39,1,100,"English, German",33,Female,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
6317cafeaec61f87cb4ef214,60fd1cf9e4dea75bcd77421f,APPROVED,2022-09-06T22:34:40.328000Z,2022-09-06T22:50:33.377000Z,2022-09-07T09:05:41.928000,2022-09-06T22:50:33.800696Z,954,CA03AWEI,105,0,100,"English, German, Latvian",28,Female,White,Latvia,Germany,Latvia,Latvian,Yes,Part-Time
6317cdc0f0d8f260eadaab38,6122d2d994e4c57e56dacda3,APPROVED,2022-09-06T22:46:28.806000Z,2022-09-06T22:57:01.195000Z,2022-09-07T09:05:42.029000,2022-09-06T22:57:01.499635Z,633,CA03AWEI,215,1,100,"English, German",22,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
