session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
grj9bsph,246,mkc3uc7d,10,si_experiment,WTP,1662366213,1,0,0
grj9bsph,249,gpp8aike,2,si_experiment,PreQuestions,1662366213,1,0,0
grj9bsph,244,7jsxxtq7,10,si_experiment,WTP,1662366214,1,0,0
grj9bsph,245,z24f4gx6,5,si_experiment,Revision2_1,1662366215,1,0,0
grj9bsph,243,n6489lwu,12,si_experiment,PostQuestions,1662366216,1,0,0
grj9bsph,243,n6489lwu,13,si_experiment,Stage2,1662366219,1,0,0
grj9bsph,235,wgjevm3l,11,si_experiment,Revision,1662366225,1,0,0
grj9bsph,247,w9cxoyua,8,si_experiment,Task,1662366229,1,0,0
grj9bsph,246,mkc3uc7d,11,si_experiment,Revision,1662366230,1,0,0
grj9bsph,251,9z3sq9az,2,si_experiment,PreQuestions,1662366239,1,0,0
grj9bsph,251,9z3sq9az,3,si_experiment,Task2_1,1662366254,1,0,0
grj9bsph,241,t8z35uev,12,si_experiment,PostQuestions,1662366256,1,0,0
grj9bsph,241,t8z35uev,13,si_experiment,Stage2,1662366261,1,0,0
grj9bsph,242,7nwhvphu,10,si_experiment,WTP,1662366263,1,0,0
grj9bsph,250,nrf78q1b,8,si_experiment,Task,1662366265,1,0,0
grj9bsph,252,j58jneuq,0,,InitializeParticipant,1662366267,1,0,0
grj9bsph,252,j58jneuq,1,si_experiment,Intro,1662366272,1,0,0
grj9bsph,250,nrf78q1b,9,si_experiment,PercAccuracy,1662366274,1,0,0
grj9bsph,244,7jsxxtq7,11,si_experiment,Revision,1662366279,1,0,0
grj9bsph,235,wgjevm3l,12,si_experiment,PostQuestions,1662366281,1,0,0
grj9bsph,246,mkc3uc7d,12,si_experiment,PostQuestions,1662366285,1,0,0
grj9bsph,251,9z3sq9az,4,si_experiment,PercAccuracy2_1,1662366287,1,0,0
grj9bsph,247,w9cxoyua,9,si_experiment,PercAccuracy,1662366291,1,0,0
grj9bsph,246,mkc3uc7d,13,si_experiment,Stage2,1662366292,1,0,0
grj9bsph,243,n6489lwu,14,si_experiment,Task2,1662366293,1,0,0
grj9bsph,242,7nwhvphu,11,si_experiment,Revision,1662366296,1,0,0
grj9bsph,251,9z3sq9az,5,si_experiment,Revision2_1,1662366303,1,0,0
grj9bsph,243,n6489lwu,15,si_experiment,PercAccuracy2,1662366307,1,0,0
grj9bsph,245,z24f4gx6,6,si_experiment,PostQuestions2_1,1662366308,1,0,0
grj9bsph,245,z24f4gx6,7,si_experiment,Stage2_1,1662366313,1,0,0
grj9bsph,250,nrf78q1b,10,si_experiment,WTP,1662366319,1,0,0
grj9bsph,243,n6489lwu,16,si_experiment,Revision2,1662366324,1,0,0
grj9bsph,251,9z3sq9az,6,si_experiment,PostQuestions2_1,1662366328,1,0,0
grj9bsph,251,9z3sq9az,7,si_experiment,Stage2_1,1662366331,1,0,0
grj9bsph,246,mkc3uc7d,14,si_experiment,Task2,1662366332,1,0,0
grj9bsph,242,7nwhvphu,12,si_experiment,PostQuestions,1662366334,1,0,0
grj9bsph,252,j58jneuq,2,si_experiment,PreQuestions,1662366337,1,0,0
grj9bsph,244,7jsxxtq7,12,si_experiment,PostQuestions,1662366340,1,0,0
grj9bsph,250,nrf78q1b,11,si_experiment,Revision,1662366341,1,0,0
grj9bsph,244,7jsxxtq7,13,si_experiment,Stage2,1662366344,1,0,0
grj9bsph,251,9z3sq9az,8,si_experiment,Task,1662366347,1,0,0
grj9bsph,246,mkc3uc7d,15,si_experiment,PercAccuracy2,1662366347,1,0,0
grj9bsph,250,nrf78q1b,12,si_experiment,PostQuestions,1662366356,1,0,0
grj9bsph,243,n6489lwu,17,si_experiment,PostQuestions2,1662366357,1,0,0
grj9bsph,250,nrf78q1b,13,si_experiment,Stage2,1662366358,1,0,0
grj9bsph,244,7jsxxtq7,14,si_experiment,Task2,1662366368,1,0,0
grj9bsph,251,9z3sq9az,9,si_experiment,PercAccuracy,1662366368,1,0,0
grj9bsph,245,z24f4gx6,8,si_experiment,Task,1662366380,1,0,0
grj9bsph,251,9z3sq9az,10,si_experiment,WTP,1662366382,1,0,0
grj9bsph,246,mkc3uc7d,16,si_experiment,Revision2,1662366384,1,0,0
grj9bsph,244,7jsxxtq7,15,si_experiment,PercAccuracy2,1662366386,1,0,0
grj9bsph,247,w9cxoyua,10,si_experiment,WTP,1662366387,1,0,0
grj9bsph,250,nrf78q1b,14,si_experiment,Task2,1662366388,1,0,0
grj9bsph,245,z24f4gx6,9,si_experiment,PercAccuracy,1662366392,1,0,0
grj9bsph,250,nrf78q1b,15,si_experiment,PercAccuracy2,1662366394,1,0,0
grj9bsph,253,cf1388at,0,,InitializeParticipant,1662366398,1,0,0
grj9bsph,241,t8z35uev,14,si_experiment,Task2,1662366400,1,0,0
grj9bsph,253,cf1388at,1,si_experiment,Intro,1662366404,1,0,0
grj9bsph,250,nrf78q1b,16,si_experiment,Revision2,1662366407,1,0,0
grj9bsph,251,9z3sq9az,11,si_experiment,Revision,1662366408,1,0,0
grj9bsph,254,tz7qvh9j,0,,InitializeParticipant,1662366410,1,0,0
grj9bsph,244,7jsxxtq7,16,si_experiment,Revision2,1662366416,1,0,0
grj9bsph,250,nrf78q1b,17,si_experiment,PostQuestions2,1662366418,1,0,0
grj9bsph,252,j58jneuq,8,si_experiment,Task,1662366418,1,0,0
grj9bsph,254,tz7qvh9j,1,si_experiment,Intro,1662366422,1,0,0
grj9bsph,241,t8z35uev,15,si_experiment,PercAccuracy2,1662366424,1,0,0
grj9bsph,249,gpp8aike,8,si_experiment,Task,1662366425,1,0,0
grj9bsph,251,9z3sq9az,12,si_experiment,PostQuestions,1662366438,1,0,0
grj9bsph,250,nrf78q1b,19,si_experiment,SocDist1,1662366438,1,0,0
grj9bsph,252,j58jneuq,9,si_experiment,PercAccuracy,1662366445,1,0,0
grj9bsph,246,mkc3uc7d,17,si_experiment,PostQuestions2,1662366445,1,0,0
grj9bsph,244,7jsxxtq7,17,si_experiment,PostQuestions2,1662366446,1,0,0
grj9bsph,247,w9cxoyua,11,si_experiment,Revision,1662366447,1,0,0
grj9bsph,245,z24f4gx6,10,si_experiment,WTP,1662366451,1,0,0
grj9bsph,250,nrf78q1b,20,si_experiment,SocDist2,1662366454,1,0,0
