,domain,avg_align,l2,l1,n,r1,r2,website,Twitter
20,share.credoaction.com,-0.8941,0.9637,0.0349,0.0014,0.0,0.0001,https://share.credoaction.com,['down']
21,www.truth-out.org,-0.8937,0.8042,0.1917,0.0037,0.0001,0.0002,https://www.truth-out.org,['https://twitter.com/truthout']
22,aattp.org,-0.8936,0.9486,0.0509,0.0004,0.0001,0.0,https://aattp.org,[]
23,www.theeverlastinggopstoppers.com,-0.8928,0.9458,0.0542,0.0,0.0,0.0,https://www.theeverlastinggopstoppers.com,[]
24,reverbpress.com,-0.8922,0.9404,0.0596,0.0,0.0,0.0,https://reverbpress.com,['https://twitter.com/Home']
25,www.addictinginfo.org,-0.8894,0.9392,0.0607,0.0001,0.0,0.0,https://www.addictinginfo.org,[]
26,bluenationreview.com,-0.8883,0.9771,0.0226,0.0003,0.0,0.0,https://bluenationreview.com,['down']
27,leftaction.com,-0.8878,0.9979,0.0021,0.0,0.0,0.0,https://leftaction.com,"['https://twitter.com/LeftAction', 'https://twitter.com/?status=Join%20LeftAction%20now!%20http%3A//leftaction.com']"
28,www.lovebscott.com,-0.883,0.9941,0.0059,0.0,0.0,0.0,https://www.lovebscott.com,['https://twitter.com/lovebscott']
29,www.alternet.org,-0.8804,0.8854,0.1049,0.0082,0.0014,0.0001,https://www.alternet.org,"['https://twitter.com/AlterNet', 'https://twitter.com/alternet']"
30,www.salon.com,-0.8753,0.8951,0.0987,0.0042,0.002,0.0001,https://www.salon.com,['https://twitter.com/Salon']
31,www.forwardprogressives.com,-0.8744,0.9836,0.0124,0.0039,0.0001,0.0,https://www.forwardprogressives.com,['down']
32,globalgrind.com,-0.8729,0.9076,0.0917,0.0007,0.0,0.0,https://globalgrind.com,['https://twitter.com/intent/follow?source=followbutton&variant=1.0&screen_name=GlobalGrind']
33,egbertowillies.com,-0.8701,0.9199,0.0801,0.0,0.0,0.0,https://egbertowillies.com,"['http://twitter.com/egbertowillies', 'https://twitter.com/EgbertoWillies']"
34,www.motherjones.com,-0.8663,0.9397,0.052,0.008,0.0002,0.0,https://www.motherjones.com,['https://twitter.com/motherjones']
35,thinkprogress.org,-0.8615,0.9498,0.0485,0.0014,0.0002,0.0,https://thinkprogress.org,['https://twitter.com/thinkprogress']
36,talkingpointsmemo.com,-0.8614,0.8155,0.1473,0.0109,0.0258,0.0005,https://talkingpointsmemo.com,['https://twitter.com/tpm']
37,adamenoire.com,-0.8568,0.9732,0.0268,0.0,0.0,0.0,https://adamenoire.com,[]
38,www.truthdig.com,-0.8565,0.799,0.1909,0.0091,0.0007,0.0003,https://www.truthdig.com,['https://twitter.com/Truthdig']
39,ecowatch.com,-0.8554,0.727,0.2505,0.0079,0.0147,0.0,https://ecowatch.com,['https://twitter.com/EcoWatch']
40,www.rawstory.com,-0.8534,0.8366,0.1598,0.0022,0.0011,0.0003,https://www.rawstory.com,['https://twitter.com/']
41,www.sanders.senate.gov,-0.8528,0.8903,0.1097,0.0,0.0,0.0,https://www.sanders.senate.gov,"['https://twitter.com/SenSanders', 'https://twitter.com/https://twitter.com/sensanders']"
42,ediamatters.org,-0.8509,0.913,0.0675,0.0038,0.011,0.0047,https://ediamatters.org,['down']
43,www.lgbtqnation.com,-0.8501,0.9272,0.0724,0.0004,0.0,0.0,https://www.lgbtqnation.com,"['https://www.twitter.com/lgbtqnation', 'https://twitter.com/lgbtqnation']"
44,grist.org,-0.8452,0.8697,0.1254,0.0049,0.0,0.0,https://grist.org,['https://twitter.com/grist']
45,billmoyers.com,-0.839,0.9448,0.0549,0.0004,0.0,0.0,https://billmoyers.com,['https://twitter.com/BillMoyers']
46,thegrio.com,-0.8326,0.9113,0.0886,0.0001,0.0,0.0,https://thegrio.com,[]
47,www.nationofchange.org,-0.8262,0.6131,0.3814,0.0055,0.0,0.0,https://www.nationofchange.org,['https://twitter.com/NationofChange']
48,www.msnbc.com,-0.8102,0.894,0.0762,0.0089,0.0178,0.003,https://www.msnbc.com,['https://www.twitter.com/msnbc']
49,www.upworthy.com,-0.8097,0.6771,0.3165,0.0064,0.0,0.0,https://www.upworthy.com,['https://twitter.com/upworthy']
50,www.barackobama.com,-0.8077,0.988,0.0114,0.0,0.0006,0.0,https://www.barackobama.com,['https://twitter.com/barackobama']
51,electronicintifada.net,-0.8074,0.6126,0.3827,0.0043,0.0005,0.0,https://electronicintifada.net,['https://twitter.com/intifada']
52,newsone.com,-0.7794,0.7554,0.2393,0.0049,0.0003,0.0001,https://newsone.com,['https://twitter.com/newsone']
53,www.theroot.com,-0.7792,0.8379,0.1552,0.0067,0.0001,0.0002,https://www.theroot.com,['https://twitter.com/TheRoot']
54,www.tytnetwork.com,-0.7785,0.5193,0.4767,0.0036,0.0004,0.0,https://www.tytnetwork.com,[]
55,boingboing.net,-0.7779,0.6098,0.356,0.0319,0.0012,0.0011,https://boingboing.net,"['https://twitter.com/beschizza', 'https://twitter.com/pesco', 'https://twitter.com/carla_sinclair', 'https://twitter.com/jlw', 'https://twitter.com/frauenfelder', 'https://twitter.com/orenwolf']"
56,blackamericaweb.com,-0.7772,0.9077,0.0796,0.0122,0.0005,0.0,https://blackamericaweb.com,['http://twitter.com/intent/follow?source=followbutton&variant=1.0&screen_name=BlackAmericaWeb']
57,gawker.com,-0.7749,0.7067,0.251,0.0395,0.002,0.0008,https://gawker.com,['https://twitter.com/gawker/']
58,www.attn.com,-0.7747,0.4775,0.522,0.0,0.0005,0.0,https://www.attn.com,['https://twitter.com/attn']
59,nahadaily.com,-0.7746,0.9659,0.0341,0.0,0.0,0.0,https://nahadaily.com,['down']
60,www.aclu.org,-0.7686,0.7872,0.1607,0.0485,0.0018,0.0018,https://www.aclu.org,['https://twitter.com/aclu']
61,www.farrahgray.com,-0.7616,0.633,0.3613,0.0045,0.0008,0.0003,https://www.farrahgray.com,[]
62,host.madison.com,-0.7585,0.8052,0.1324,0.0306,0.0126,0.0191,https://host.madison.com,['https://twitter.com/madisondotcom']
63,www.newyorker.com,-0.7584,0.8642,0.1235,0.0078,0.0043,0.0002,https://www.newyorker.com,"['https://twitter.com/NewYorker/', 'https://twitter.com/intent/tweet/?url=https%3A%2F%2Fwww.newyorker.com%2Fcartoon%2Fa27641%3Futm_source%3Dtwitter%26utm_medium%3Dsocial%26utm_campaign%3Donsite-share%26utm_brand%3Dthe-new-yorker%26utm_social-type%3Dearned&text=&via=NewYorker']"
64,gothamist.com,-0.7415,0.6293,0.1973,0.1701,0.0033,0.0,https://gothamist.com,['https://twitter.com/gothamist']
65,america.aljazeera.com,-0.7362,0.6974,0.2804,0.02,0.0018,0.0004,https://america.aljazeera.com,['https://twitter.com/ajenglish']
