garden,basement,elevator,balcony,floor (storey),nmbr of rooms,sq_meters,construction year,price,unemployment,Anteil Gruenenwaehler,Berlin,Duesseldorf,Frankfurt,Hamburg,Koeln,Muenchen,Stuttgart
False,True,False,False,1.0,3.0,53.0,1955.0,249000.0,3,1,0,0,1,0,0,0,0
False,True,True,True,6.0,2.0,51.0,1971.0,249000.0,3,1,0,0,1,0,0,0,0
True,False,True,True,-1.0,2.0,57.1,2016.0,255700.0,3,3,0,0,1,0,0,0,0
False,True,True,False,6.0,1.0,25.0,2014.0,259999.0,1,3,0,0,1,0,0,0,0
True,False,True,False,-1.0,1.0,34.73,2016.0,263000.0,3,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,52.0,1995.0,265000.0,3,1,0,0,1,0,0,0,0
False,True,True,True,7.0,2.0,63.0,1969.0,269000.0,3,1,0,0,1,0,0,0,0
False,True,False,False,2.0,2.0,55.0,1929.0,270000.0,1,2,0,0,1,0,0,0,0
False,True,False,True,-1.0,2.0,35.89,1971.0,270275.0,2,1,0,0,1,0,0,0,0
False,True,True,True,13.0,3.0,72.0,1964.0,275000.0,1,3,0,0,1,0,0,0,0
False,True,True,True,5.0,4.0,84.0,1975.0,280000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,3.0,2.0,53.9,1958.0,286400.0,1,1,0,0,1,0,0,0,0
False,True,True,False,-1.0,2.5,61.0,1968.0,295000.0,3,1,0,0,1,0,0,0,0
False,False,False,True,-1.0,2.0,46.49,1955.0,299000.0,1,2,0,0,1,0,0,0,0
False,True,False,True,4.0,2.5,45.0,1965.0,299000.0,1,1,0,0,1,0,0,0,0
False,True,True,False,-1.0,1.0,23.42,2023.0,299900.0,2,1,0,0,1,0,0,0,0
True,True,False,False,4.0,2.0,44.99,1954.0,300000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,-1.0,4.0,83.0,1963.0,308000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,2.0,1.0,31.0,1955.0,309000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,-1.0,2.0,44.0,2021.0,309890.0,1,1,0,0,1,0,0,0,0
True,True,False,False,4.0,2.0,49.18,1900.0,310000.0,2,3,0,0,1,0,0,0,0
False,False,True,True,-1.0,1.0,30.3,2022.0,318100.0,1,1,0,0,1,0,0,0,0
False,True,False,False,-1.0,2.0,51.0,1997.0,319000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,3.0,67.0,1975.0,320000.0,2,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,3.0,67.0,1975.0,320000.0,2,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,3.0,67.0,1975.0,320000.0,2,1,0,0,1,0,0,0,0
True,True,False,False,3.0,2.0,48.4,1900.0,320000.0,2,3,0,0,1,0,0,0,0
False,False,True,True,-1.0,1.0,32.7,2022.0,323700.0,1,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,1.0,32.4,2022.0,327200.0,1,1,0,0,1,0,0,0,0
False,True,True,True,2.0,3.0,69.33,1963.0,329000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,5.0,3.0,67.71,1963.0,329200.0,3,1,0,0,1,0,0,0,0
True,True,False,True,-1.0,3.0,67.0,1952.0,330000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,6.0,3.0,67.71,1963.0,330400.0,3,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,1.0,31.5,2022.0,330700.0,1,1,0,0,1,0,0,0,0
False,True,True,True,5.0,2.0,60.0,1980.0,332800.0,3,1,0,0,1,0,0,0,0
False,True,False,True,2.0,3.0,71.25,1960.0,334000.0,3,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,1.0,33.1,2022.0,334300.0,1,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,3.0,69.0,1953.0,335000.0,1,1,0,0,1,0,0,0,0
False,True,False,True,2.0,2.0,60.34,1960.0,337000.0,3,1,0,0,1,0,0,0,0
